iter	Passed	Remaining
428	1729	2302
429	1734	2298
430	1738	2294
431	1742	2291
432	1746	2287
433	1750	2282
434	1753	2277
435	1757	2273
436	1761	2269
437	1764	2264
438	1769	2260
439	1773	2257
440	1777	2253
441	1781	2248
442	1784	2243
443	1788	2239
444	1792	2235
445	1795	2230
446	1798	2225
447	1802	2220
448	1806	2216
449	1809	2212
450	1813	2207
451	1816	2202
452	1819	2197
453	1823	2192
454	1827	2188
455	1830	2183
456	1834	2179
457	1838	2175
458	1841	2170
459	1845	2166
460	1849	2161
461	1853	2157
462	1856	2153
463	1860	2148
464	1863	2143
465	1866	2139
466	1871	2135
467	1874	2131
468	1878	2126
469	1881	2121
470	1885	2118
471	1889	2113
472	1893	2109
473	1896	2104
474	1900	2101
475	1905	2097
476	1908	2092
477	1911	2087
478	1915	2082
479	1919	2079
480	1922	2074
481	1926	2070
482	1929	2065
483	1933	2061
484	1937	2057
485	1940	2052
486	1944	2048
487	1949	2045
488	1953	2041
489	1957	2037
490	1960	2032
491	1964	2028
492	1968	2023
493	1971	2019
494	1974	2014
495	1978	2010
496	1982	2006
497	1985	2001
498	1989	1997
499	1992	1992
500	1996	1988
501	2000	1984
502	2004	1980
503	2007	1975
504	2011	1971
505	2015	1967
506	2018	1962
507	2022	1958
508	2025	1953
509	2029	1950
510	2033	1945
511	2036	1941
512	2040	1936
513	2044	1932
514	2048	1929
515	2051	1924
516	2055	1920
517	2059	1916
518	2063	1912
519	2067	1908
520	2070	1903
521	2074	1899
522	2078	1896
523	2082	1891
524	2085	1887
525	2089	1882
526	2093	1878
527	2096	1874
528	2100	1869
529	2103	1865
530	2106	1860
531	2111	1857
532	2114	1853
533	2118	1848
534	2122	1844
535	2126	1840
536	2129	1836
537	2133	1831
538	2137	1827
539	2141	1824
540	2144	1819
541	2148	1815
542	2151	1810
543	2155	1806
544	2159	1802
545	2162	1798
546	2166	1794
547	2169	1789
548	2174	1786
549	2177	1781
550	2181	1777
551	2185	1773
552	2189	1769
553	2192	1765
554	2196	1761
555	2200	1757
556	2204	1753
557	2208	1749
558	2211	1744
559	2215	1740
560	2218	1736
561	2222	1732
562	2226	1728
563	2229	1723
564	2233	1719
565	2237	1715
566	2241	1711
567	2245	1707
568	2248	1703
569	2252	1699
570	2256	1695
571	2259	1690
572	2263	1686
573	2266	1682
574	2271	1678
575	2274	1674
576	2278	1670
577	2281	1665
578	2286	1662
579	2290	1658
580	2293	1654
581	2297	1649
582	2301	1645
583	2305	1642
584	2308	1637
585	2312	1633
586	2315	1629
587	2320	1625
588	2323	1621
589	2326	1616
590	2330	1612
591	2334	1609
592	2338	1605
593	2342	1601
594	2345	1596
595	2349	1592
596	2353	1588
597	2356	1584
598	2360	1579
599	2363	1575
600	2367	1571
601	2371	1567
602	2374	1563
603	2378	1559
604	2383	1555
605	2386	1551
606	2389	1547
607	2393	1543
608	2397	1539
609	2401	1535
610	2404	1530
611	2408	1526
612	2412	1523
613	2416	1519
614	2419	1514
615	2423	1510
616	2427	1506
617	2431	1502
618	2434	1498
619	2438	1494
620	2441	1490
621	2446	1486
622	2450	1482
623	2453	1478
624	2457	1474
625	2461	1470
626	2464	1466
627	2468	1462
628	2472	1458
629	2476	1454
630	2480	1450
631	2483	1446
632	2487	1442
633	2490	1438
634	2495	1434
635	2498	1430
636	2502	1425
637	2505	1421
638	2509	1417
639	2519	1417
640	2523	1413
641	2527	1409
642	2531	1405
643	2535	1401
644	2538	1397
645	2543	1393
646	2546	1389
647	2550	1385
648	2553	1381
649	2558	1377
650	2561	1373
651	2564	1369
652	2568	1364
653	2572	1360
654	2576	1356
655	2579	1352
656	2583	1348
657	2586	1344
658	2590	1340
659	2594	1336
660	2598	1332
661	2601	1328
662	2605	1324
663	2609	1320
664	2612	1316
665	2616	1312
666	2620	1308
667	2623	1304
668	2627	1299
669	2630	1295
670	2634	1291
671	2639	1288
672	2642	1284
673	2646	1279
674	2649	1275
675	2654	1272
676	2658	1268
677	2661	1264
678	2665	1260
679	2670	1256
680	2674	1252
681	2678	1248
682	2682	1244
683	2686	1241
684	2690	1237
685	2693	1233
686	2697	1228
687	2701	1225
688	2704	1220
689	2708	1216
690	2711	1212
691	2715	1208
692	2719	1204
693	2722	1200
694	2726	1196
695	2730	1192
696	2734	1188
697	2737	1184
698	2741	1180
699	2744	1176
700	2747	1172
701	2751	1168
702	2755	1163
703	2758	1159
704	2762	1155
705	2766	1152
706	2770	1147
707	2773	1143
708	2777	1139
709	2781	1136
710	2784	1131
711	2788	1127
712	2791	1123
713	2795	1119
714	2799	1115
715	2803	1111
716	2806	1107
717	2809	1103
718	2814	1099
719	2818	1095
720	2821	1091
721	2825	1087
722	2829	1083
723	2832	1079
724	2836	1075
725	2839	1071
726	2843	1067
727	2847	1063
728	2850	1059
729	2854	1055
730	2864	1054
731	2867	1049
732	2870	1045
733	2874	1041
734	2879	1038
735	2882	1034
736	2886	1029
737	2889	1025
738	2893	1022
739	2897	1018
740	2901	1014
741	2904	1010
742	2909	1006
743	2913	1002
744	2916	998
745	2920	994
746	2924	990
747	2928	986
748	2931	982
749	2935	978
750	2938	974
751	2943	970
752	2946	966
753	2950	962
754	2953	958
755	2957	954
756	2961	950
757	2964	946
758	2968	942
759	2971	938
760	2975	934
761	2979	930
762	2983	926
763	2986	922
764	2990	918
765	2994	914
766	2997	910
767	3001	906
768	3006	903
769	3009	899
770	3013	895
771	3017	891
772	3027	889
773	3031	885
774	3034	880
775	3038	877
776	3041	873
777	3045	868
778	3049	864
779	3052	861
780	3056	857
781	3059	853
